experience,education,skills
"Sourcing Engineer , Merchandiser","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2017
	                    
                    	","Management Proficiency, Technical Proficiency, Planning/Organizing,
Mechanical Engineer, , Merchandiser, Vendor Development, Sourcing, Vendor Selection
"
Asst manager Sourcing,Diploma-Other Diploma ,"
production, Costing, Trims, Sourcing
"
"Senior Sourcing Analyst , Process Developer",BBA /  BBM /  BBS ,"Accomplishments, Technical Proficiency, Communication Proficiency,
Vendor Management, Vendor Development, Procurement, Purchasing, Direct Sourcing, Data Analyst, Data Management, Semi Voice, Flexible, Quick Learner, Good Interpersonal Skills, Leadership Quality, Good Communication Skills, Sap Ecc, cransoft, Microsoft Excel, Microsoft Word, Microsoft Powerpoint, Invoice, Leadership Qualities, Willingness To Learn, Positive Attitude, Data Analysis, Good Team Player, Purchase Order, Team Management, Operations Management, Team Player, Process Management, Ms Outlook, Data Quality, Management Skills, Good Communication, Master Data, Invoices, Word, Microsoft Outlook, Microsoft Power Point, Ms Outlook 2003, People Management, Client Relationship Management, Data Validation, Master Data Management, sap mdg, Erp, Management
"
"Asst. Manager- Sourcing & Procurement , Purchase executive","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2012
	                    
                    	","Planning/Organizing, Management Proficiency, Teamwork,
e-sourcing, ariba e-sourcing, vendor development, vendor negoation, inventory control, MIS Reports
"
"Strategic sourcing specialist, Deputy manager procurement","B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2007
	                    
                    	","Planning/Organizing, Teamwork, Communication Proficiency,
Vendor Development, Vender Management, Costing, Strategic Sourcing, Supplier Negotiations
"
Head- Sourcing,"MBA /  PGDM
                  	
	                  	
	                       		2006
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
Planning, strategic sourcing, leadership, negotiations, contract management, e-sourcing, strengthen procurement process, spend management, Project Management, sap-mm, Vendor Management
"
"Recruitment Sourcing Specialist, Senior Recruiter","B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2015
	                    
                    	","Communication Proficiency, Interpersonal Abilities, Research Proficiency,
Ms Word, Ms Powerpoint, Leadership, Motivation, Team Work, Good Communication, Hard Working, Honest, Dedicated, Hr Recruiter, Recruitment, Screening, Negotiation Skills, Interviewing Candidates, Talent Acquisition, recruitment sourcing, Human Resourcs, Hr, Sourcing, Employee Onboarding, Employee Engagement, Talent Management, Human Resources, hr executive, human resource
"
VP-Sourcing,"MBA /  PGDM
                  	
	                  	
                    	","Planning/Organizing, Management Proficiency, Teamwork,
Contract Negotiations, , Supplier Management, Commercial Negotiation, Buying / procurement, Strategic Sourcing
"
"Strategic Sourcing Manager, Senior Executive , Purchase","BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2012
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Contract Management, Vendor Development, Strategic Sourcing, Cost Reduction, sustainable procurement, Data Analytics, Risk Management, Stakeholder Engagement, Category Management, Team Management, Inbound Logistics, warehouse management
"
"Sourcing Manager, Project Lead- Sourcing",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Analytical Proficiency,
Procurement Manager, Sourcing Manager, Vendor Development, Commodity Management
"
Operations Manager - Sourcing,B.com.  ( Commerce )  ,"Planning/Organizing, Management Proficiency, Teamwork,
procurement, Sourcing Manager, Global Sourcing, SAP MM, Ariba sourcing, Negotiating Skill, Python, Spend Analysis, global sourcing, It Procurement, Contract mana
"
Category Manager - Strategic Sourcing,Diploma-Engineering ,"Management Proficiency, Analytical Proficiency, Interpersonal Abilities,
Operations and Head, Project Management, Project Manager, Purchase Manager, Sourcing Manager, Vendor Management, Purchase Management, Negotiating Skill, Project Coordination, Stake holder management, Planning, Supply Chain Management, Project Costing, Materials Management, Demand Forecasting, Logistics, Warehouse Management, Logistics Management, Supply Chain, Inventory Control, Logistics Support, Purchasing, Purchase Requisition, Purchase Order, Manufacturer, Goods Receipt, Invoice Verification, Master Data, Transportation, Logistics Operation, Ms Project, Risk Management, Team Management, Delivery Management, Program Management, Inventory, Warehouse Management System, Packing, Dispatch, Reconciliation, Materials, Fifo, Client Handling, Requirement Gathering, Client Coordination, Resource Management, People Management
"
"Senior Sourcing Manager , Sourcing and Project Specialist-Deputy Manager",B.com.  ( Commerce )  ,"Management Proficiency, Planning/Organizing, Teamwork,
BUSINESS OPERATIONS, BUYER, BUYING / PROCUREMENT, sourcing, Stakeholder Management, Vendor Management, Market Analysis, Spend Analysis, supplier negotiation, contract and commercial
"
"sourcing buyer , Senior process specialist","MCA /  PGDCA
                  	
	                  	
	                       		2012
	                    
                    	","Interpersonal Abilities, Technical Proficiency, Planning/Organizing,
Sourcing buyer, Supply Chain Management, Buying / procurement, Catalog Management, Competitive Bidding
"
"SENIOR SOURCING MANAGER, Senior Manager-Purchase-Sourcing",Diploma-Engineering ,"Planning/Organizing, Management Proficiency, Training/Mentoring,
Purchase Manager, Sourcing Manager, Supply Chain Management, New Product Development, Buying Procurement, Supplier Quality, Technical Audit
"
Global Product sourcing,B.Sc.  ( Science )  ,"Communication Proficiency, Management Proficiency, Planning/Organizing,
Merchandising, Sourcing Manager, Product Management, Divisional Manager Merchandising
"
Merchandising / Sourcing Manager,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Teamwork,
Merchandising, Marketing, Planning, Sourcing, Supply Chain Management Etc
"
"Sourcing Specialist South Asia , Senior Manager Sourcing and Vendor development","BBA /  BBM /  BBS , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Research Proficiency,
sourcing, vender development, Procurement, Product Development, Negotiating Skill, Vendor Relationship, Supply Chain Management, Product Costing, New Product Development
"
"Sourcing & Procurement Manager, Assistant Manager","BBA /  BBM /  BBS , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Training/Mentoring,
working knowledge of end to end p2p cycle, working knowledge of strategic sourcing mainly Non-IT sourcing, catalog management, contract management, Administration and facility managemnt contracts in strategic sourcing, negotiation of commerical terms and conditions, drafting sow, esourcing projects, Reverse auction
"
"Strategic Sourcing Manager, Senior Procurement Specialist","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2015
	                    
                    	","Planning/Organizing, Management Proficiency, Analytical Proficiency,
strategic sourcing manager
"
"Assistant Manager - Sourcing, Senior Engineer - Global Supply Team",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Teamwork,
Scheduling, Inventory management, Erp, Supplier Management, ctb, clear to build, Purchase, Vendor Development, Strategic Sourcing
"
"Sourcing engineer, Sourcing engineer",BE /  B.Tech  ( Engineering )  ,"Analytical Proficiency, Planning/Organizing, Teamwork,
Team Management, Problem Solving, Microsoft Excel, Microsoft Office, Purchase, Negotiating Skill, Vendor Development, Direct Sourcing, E-sourcing, Supply Chain Management
"
"Strategic Sourcing and New Product Development , Deputy Manager",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Teamwork, Management Proficiency,
, Sourcing, New Product Development, Projects
"
"SR MANAGER BUYING & SOURCING, DIV. MERCHANDISING MANAGER","MBA /  PGDM
                  	
	                  	
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
development & costing, Budgeting, order management & execution, garment processing, material sourcing & negotiations, Apparel Merchandising, apparel sourcing, Garments, Fashion, Textile, Retail Buyer, Vendor Management
"
"Assistant Manager Sourcing, Procurement Executive - SAP MM",B.com.  ( Commerce )  ,"Management Proficiency, Planning/Organizing, Creative Proficiency,
Apparel Merchandising, Garment, Garment Manufacturing, Merchandiser, Merchandising, Procurement Executive - SAP MM, purchase executive, Retail Merchandiser, sourcing executive, Sourcing Manager, Merchandise
"
"Deputy Manager. Sourcing, Business Management",B.com.  ( Commerce )  ,"Management Proficiency, Communication Proficiency, Training/Mentoring,
buying & merchandising, Vendor Management
"
"Strategic sourcing in contract, Assistant Manager","BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2013
	                    
                    	","Planning/Organizing, Management Proficiency, Interpersonal Abilities,
Import Management, Indirect Procurement, Logistics Manager, Purchase Management, Strategic sourcing, Casting purchase, Bought material purchase
"
"Director - Firmwide Sourcing, Senior Associate - Global Logistics And Procurement","Other School /  Graduation , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2017
	                    
                    	","Planning/Organizing, Research Proficiency, Management Proficiency,
Contract Management, Management, Negotiation, Procurement Operations, Project Management, Relationship Management, Rfx Management, Strategic Sourcing, Research, Data Analysis, Microsoft Office, SAP Ariba, SAP SRM
"
Strategic Sourcing - Assistant Manager Operations ( Procurement,BCA  ( Computer Application )  ,"Interpersonal Abilities, Research Proficiency, Communication Proficiency,
SAP, Ariba, People Management, Team Lead, Operations Management, Procurement Manager, Buying / procurement, Category Management, Strategic Sourcing, Buying Procurement, Contract Management, Risk Management, Risk Analysis, It Procurement, Vendor Management
"
"Assistant Manager Sourcing and Procurement, Sr. Procurement professional","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2009
	                    
                    	","Management Proficiency, Planning/Organizing, Communication Proficiency,
Procurement & import logistics SAP MM, Sourcing, E-sourcing, Procurement, Buying / procurement, Procurement Manager
"
Management Team & Global Category Leader ( Strategic Sourcing ),"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2009
	                    
                    	","Management Proficiency, Leadership Proficiency, Planning/Organizing,
strategic planning, business alliances, global procurement, technology transfer, negotiations & contract management, innovation, cross-cultural people management., Supplier Management, strategic sourcing, Product Costing, Managed Services, engineering procurement
"
"AGM Sourcing & Procurement , Manager","B.pharm.  ( Pharmacy )  , MBA /  PGDM
                  	
	                  	
	                       		2008
	                    
                    	","Interpersonal Abilities, Management Proficiency, Planning/Organizing,
Project Management, API Sourcing Reg Mkt, Negotiation, SAP Procurement module, Business Analyst, Strategic sourcing, Business development, Project Mangement, Procurement, Leadership, Leadership, Buying
"
Director for Business Development & Strategic Sourcing,"B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2007
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Strategic sourcing, vendor Management, Procurement / Purchase, inventory management, Administration, Cost Saving Strategies, Brand Marketing
"
"Category Sourcing Expert - It Outsourcing & Offshoring, Vice President - Specialist Sourcing","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Management Proficiency, Creative Proficiency, Planning/Organizing,
sourcing, Vendor Development, Vendor Management, Vendor Relationship, contract management, strategic sourcing, Procurement, negotiation, Outsourcing, spend analysis, sourcing strategy, Supply Chain Management, purchasing
"
"Senior Executive - Sourcing , Warehouse and Logistics., Executive - Supply Chain Management",Diploma-Engineering ,"Accomplishments, Interpersonal Abilities, Communication Proficiency,
, Supply Chain Management, Warehouse, Logistics, Inbound Logistics, Outbond Logistics, Direct Sourcing
"
"Lead Sourcing Manager , Sourcing Manager",Diploma-Other Diploma ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
Corresponding with Buyers, Sourcing, Costing, Season to deliver under constrains.proven leadership skills involving managing, developing and motivating to achieve objectives, Quick decision making, Fast learner
"
"SOURCING & PURCHASING Expert, Head Sourcing & Procurement",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
international / national sourcing, purchasing, vendor development, value engg, warehousing, logistics, commodity trading, budgeting, taxation, Cost Management, strategic sourcing, Business Development, Negotiating Skill, New Product Introduction, Corporate Planning, E-sourcing, International Sourcing
"
"Manger- Global Strategic Sourcing , Assistant Manager - Purchase","MBA /  PGDM
                  	
	                  	
	                       		2013
	                    
                    	","Management Proficiency, Planning/Organizing, Communication Proficiency,
Expansion project, IT Purchase Management, ERP Peoplesoft - Purchase module, Strategic Sourcing, Coupa, SAP Ariba, Vendor Management
"
"Strategic Sourcing -Manager, Assistant Manager- Supplier Development Quality",Diploma-Engineering ,"Management Proficiency, Planning/Organizing, Creative Proficiency,
New part development, six sigma, spc, Stretgic Sourcing, Supplier Assesment, Supplier Development, supplier management, supplier quality, Supply Chain Management, Supply Chain Manager, tqm, Vendor Audits, Vendor Development, Vendor Management, Vendor Manager, Purchase Management, Purchase, Cost Negotiation, Procurement, zero base costing
"
"Asst. manager - Sourcing, PROCESS SOURCING ENGINEER","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2016
	                    
                    	","Research Proficiency, Technical Proficiency, Management Proficiency,
procurement, strategic sourcing, global sourcing, supplier negotiation, sap material management, inventory management, sap erp, supplier evaluation, pharmaceuital equiments, supply chain management, vendor management, vendor development, logistics, inventory control, negotiating skill, manufacturing engineer, manufacturing management, project management, material management, purchase order, purchase requisition, purchasing, requisition, material requirement
"
Sourcing Executive,"B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2016
	                    
                    	","Planning/Organizing, Communication Proficiency, Teamwork,
, Recruitment Executive, Sourcing, Executive Recruiter, Hr Recruiter, Recruitment Officer
"
Sourcing Manager,Bachelor of Fashion Technology ,"
Merchandising, Sourcing Manager
"
"sourcing Specialist, Lead Recruiter","BA  ( Arts )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Communication Proficiency, Planning/Organizing, Research Proficiency,
attendance management, background verification, Candidate Screening, Conducting Interview, exit formalities, Hr Recruiter, Human Resource Management, Interview Scheduling, Job Posting, Joining Formalities, on-boarding, Recruitment, Selection, Shortlisting, Sourcing, Telephonic Interview, parmanent recruitment, temporary recruitment, Bulk Hiring, Volume Hiring, Bpo Hiring, Payroll Management, mis report making, Client Handling, Client Coordination, Esic, pf, Statutory Compliance, face to face interview, job offer, salary negotiations, Compensation
"
"Global Capex and Assets Sourcing Manager, Projects & Capex Manager","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2013
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
procurement, Capex, Investment Strategies, Rfx, Bid Management, Vendor Management, Global Sourcing, Contract Management, Techno-commercial, Negotiation, Team Management, Supply Chain Management, Project Management, tco, SAP MM, Indirect Procurement, Mro, Spend Analytics, Stakeholder Management, Roi, Risk Management, critical path analysis, Financial Analysis, Cash Flow and Management
"
Sourcing engineer,BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Analytical Proficiency, Technical Proficiency,
Purchase, Sourcing, Supply Chain Management, Supply procurement, Oracle Apps, SAP
"
"Apparel Sourcing Manager, Deputy Manager Sourcing","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2017
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
Merchandising, Vendor Management, range planning, assortment planning, Buying, Demand Forecasting, apparel sourcing
"
"Sourcing Category Manager, Prcurement Delivery Support Lead -NA & Europe","MBA /  PGDM
                  	
	                  	
	                       		2007
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Strategic Sourcing, Category Management, Spend analysis, Market Research, Contracts Management, reporting & analytics sourcing compliance, office supplies category, facilities category, IT software Licensing, IT software Applications, IT hardware, IT Professional Services, Reseller Contracts, Procurement Intelligence
"
"Category manager ( Global Sourcing ) , Assistant Manager",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Creative Proficiency,
Vendor Development, Vendor Management, Buying / procurement, Supply Chain Management, Supplier Management, New Product Development, Costing, project management, Global Sourcing, Strategic Sourcing, inventory management, Scm, Procurement, Purchasing, Product Development, Mis, Sap Mm, Budgeting, Bom, Material Management, Taxation, Supply, Supply Chain, Purchaser, Inventory
"
"Sourcing Professional ( Assistant Manager ) , Sr. Sourcing Analyst",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Technical Proficiency, Accomplishments,
sourcing & procurement ( p2p ), Master Data Management, Sap Mm Module, Procurement Management, Contract Management, Contract Negotiations, Vendor Management, Negotiating Skill, Supplier Relationship, Strategic Sourcing
"
Fabric Sourcing Manager,"M.Sc.  ( Science ) 
                  	
	                  	
	                       		1986
	                    
                    	","
fabric sourcing, dying, printing, computer embroidery, good at handwork sourcing, mechine embroidery, computer printing, graphic
"
"Strategic sourcing Manager, Manager","BA  ( Arts )  , Integrated PG Course
                  	
	                  	
	                       		2016
	                    
                    	","Planning/Organizing, Management Proficiency, Teamwork,
Erp, Logistics Manager, oracle and analyst, Procurement, Sourcing Manager, Supply Chain Management, Vendor Management, Team leadership, Cross-functional Team Leadership, Team Management, Analytical, MIS Reports, P2P, Accounts Payable Process, Contract Management, Contract Manager
"
"Head of Strategic sourcing and supply chain, Manager - Procurement management group","BBA /  BBM /  BBS , PG Diploma
                  	
	                  	
	                       		2007
	                    
                    	","Management Proficiency, Analytical Proficiency, Planning/Organizing,
Best Practices, Business Leadership, commercial negotiation, concept development & execution, Crisis Management, Cross-functional Team Leadership, Data Analysis, Effective Leadership, Head of Procurement, imports, Lean Six Sigma Green belt, Negotiating Skill, p / l managment, Procurement Contracts, SLAs & contracts, store operations, Strategic Sourcing, Supplier Management, Supply Chain, Team Management, vendor managment - global & incountry, P2P, S2P, Supplier Assessment, Supplier Auditing, Supplier Evaluation, Supplier Development, Performance Management
"
Manager Sourcing,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Interpersonal Abilities, Planning/Organizing,
Operations and Head, Sourcing Manager, Project Management, Manufacturing Manager
"
Manager-Strategic Sourcing,B.com.  ( Commerce )  ,"
Team Manager, Sales Manager, Sourcing Manager, Senior Sales
"
Sourcing & Inventory Management,"MCA /  PGDCA
                  	
	                  	
	                       		2007
	                    
                    	","
, SAP MM, Material Planning, Inventory Controller, Purchasing, SAP Material Management, Material management
"
"PRODUCT DEVELOPMENT & SOURCING- GLOBAL SUPPLY CHAIN, Deputy Manager- Sourcing",BE /  B.Tech  ( Engineering )  ,"Training/Mentoring, Creative Proficiency, Management Proficiency,
Merchandising, sourcing, Sourcing Manager, Vendor Management, International Sourcing, Strategic Sourcing, Business Development, Merchandiser, Account Manager
"
Manager Strategic Sourcing,BA  ( Arts )  ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
, Strategic Sourcing, Materials Planning, Toll Manufacturing, Warehouse Management, Procurement Process, Indirect Purchase, Store Management, Demand Planning, Production Planning, Distribution Planning, Team Management
"
"Quality Controller and sourcing in charge, Quality Controller and Sourcing Support",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Communication Proficiency, Research Proficiency,
Sourcing and benchmarking vendors from different locations in India, Good communication skill, Microsoft Excel, Microsoft Office, Quality Assurance / QA, Inspection, Liasoning, Vendor Development, Price Negotiation, Vendor Sourcing, Product Development, Quality Control Inspector
"
"Sourcing manager, Procurement business analyst",BBA /  BBM /  BBS ,"
Buying, Procurement, Purchasing, sap, mfgpro, Negotiating Skill
"
"sourcing engineer, Electrical engineer purchase",BE /  B.Tech  ( Engineering )  ,"Research Proficiency, Training/Mentoring, Interpersonal Abilities,
Audit, Purchase Management, Buying Procurement, Purchasing, Purchase Order, Sales Order, Purchase Requisition, Materials Management, Goods Receipt
"
"Sourcing and Supply Chain Manager, Sourcing and Supply Chain manager",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
automotive parts, budget forecasting, business analysis, commodity, commodity management, cost reduction, costing, digitilization, inventory management, market analysis, negotiation, presentation, pricing strategies, process improvement, product development, purchase, raw material, risk management, sourcing, supplier development, supplier evaluation, supply chain management, vendor management, Stake holder management, Association, Procurement, Material planning, Capacity Planning, Localization, Team Management
"
"Program Manager ( Sourcing and Procurement ) , Team Lead Global Procurement",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
procurment & strategic sourcing; vendor management; customer satisfaction; negotiations, Catalog Management, procurment process streamline, People Management
"
"Sourcing head of jeans N cotton trouser, Assistant Merchandiser","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2014
	                    
                    	","Management Proficiency, Interpersonal Abilities, Training/Mentoring,
Management operation, Sourcing Manager
"
"Sourcing And Category Associate Manager, Supplier Business Manager","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2019
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
Programme Management, Supply Chain Management, Vendor Development, Contract Management, Procurement Manager, Sourcing Manager, Category Management, sap ariba, SAP MM, consultant scm, strategic & tactical sourcing, direct & indirect procurement, supplier relationship management, Benchmarking, Market Intelligence
"
"Senior Manager Sourcing , DEPUTY MANAGER SOURCING SUPPLY CHAIN",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Planning/Organizing,
Sourcing Manager, Alternate Sourcing, Supplier Management, Supply Chain Management, Purchase Management, Supplier Development, Logistics, Logistics Management, Price Negotiation, Procurement, Buyer
"
Strategic sourcing assistant manager,B.com.  ( Commerce )  ,"
Strategic Sourcing, Strategic Planning, Negotiating Skill, Vendor Management, Sla Management, Six Sigma, Green Belt, Global Procurement, Direct Sourcing, Global Sourcing
"
"Production and Sourcing Co-Ordinator, Production Assistant",BE /  B.Tech  ( Engineering )  ,"
Production Planning, Sap Mm Module, SAP PP, Excel, Ms Word, Solidworks, International Sourcing, Preparing Quotations, Purchase Orders, End User Support, Purchasing, Vendor Management, Vendor Communication
"
"sourcing manager , Senior executive",BE /  B.Tech  ( Engineering )  ,"
, Vendor Development, Capital Goods and Sales
"
"Dy Manager - Department ( Sourcing & New Product Development ) , Supervisor - Assembly , Vendor Development","B.Sc.  ( Science )  , Other Post Graduation
                  	
	                  	
	                       		2014
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Sourcing, purchase
"
"Cluster Sourcing Operation Lead, Area Sales Manage","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2015
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
CUSTOMER SERVICE, FAST LEARNER, SALES, Channel Sales, People Management, District Manager, planning, Brand Marketing, Ecommerce Operations, Sourcing, Inventory, Operations Management, Process Management, Business Process Management, Business Analysis, Excellent Leadership
"
"Senior Sourcing Specialist , German language teacher",B.com.  ( Commerce )  ,"Interpersonal Abilities, Training/Mentoring,
Buying / procurement, Supplier Management, E-sourcing, It Procurement, Stakeholder Management, Ariba Buyer
"
Executive sourcing manager,"Other Post Graduation
                  	
	                  	
	                       		2020
	                    
                    	","
Merchandiser, Brand Management, Sourcing Manager, E-commerce, Retail Buyer, Influencer marketing, Social Media Marketing, Fashion Management
"
"Procurement & Sourcing, GM GLOBAL SOURCING / SUPPLY CHAIN MANAGEMENT",Other School /  Graduation ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
Global Sourcing, Procurement
"
"Deputy Head - Global Sourcing , Procurement & Logistics, Asst. General Manager Purchase & Logistics",B.com.  ( Commerce )  ,"Management Proficiency, Planning/Organizing, Technical Proficiency,
Buying / procurement, Global Sourcing, Export Import, Export Logistics, Import Logistics, Export Documentation, Shipping Documentation, Logistics Management, Inventory Control, Materials Management, Supply Chain Management, Freight Negotiation
"
"Asst Manager-Product Development & Trim Sourcing, Sr Merchandiser",Diploma-Fashion /  Design ,"Planning/Organizing, Management Proficiency, Interpersonal Abilities,
Product Costing, trim sourcing, negotiation and convincing skills
"
It Sourcing Specialist,BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Research Proficiency, Training/Mentoring,
, Direct Sourcing, Candidate Screening, Resume Screening, Conducting Interviews, Interview Coordination
"
"Global Sourcing Manager, Senior Associate - Project Purchasing",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Creative Proficiency,
Supply Chain Management, Inventory Control, Global Sourcing, Logistics, Buyer, Procurement, Purchasing
"
"Assistant Manager - Sourcing, Souring Engineer","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2012
	                    
                    	","Management Proficiency, Planning/Organizing, Teamwork,
Inventory Control, Direct Sourcing, Vendor Development, Supply Chain Management, Costing, Commercial Negotiation, Procurement Manager
"
Buyer indirect and direct sourcing,"Management Proficiency, Planning/Organizing, Creative Proficiency,","
Buyer indirect and direct sourcing
"
"male nurse, male nurse",Diploma-Other Diploma ,"Teamwork, Accomplishments, Management Proficiency,
male nurse with 7yrs experience.able to handle all medical and surgical cases.Also completed ACLS & BLS
"
Incharge nurse,B.Sc.  ( Science )  ,"Interpersonal Abilities, Teamwork, Analytical Proficiency,
registerd, Staff Nurse, Icu Nurse, Medical Ward
"
"Nurse specialist , Ward incharge , icu nurse",Other School /  Graduation ,"Planning/Organizing, Communication Proficiency, Training/Mentoring,
Registered Nurse, ward incharge, icu & ot nurse, ccu
"
"Staff nurse, Nursing officer",Diploma-Other Diploma ,"
Staff Nurse
"
Staff nurse,Diploma-Other Diploma ,"
Nursing, Nurse Rn
"
Male Senior Staff Registered Nurse,Diploma-Other Diploma ,"Interpersonal Abilities, Communication Proficiency, Management Proficiency,
Registered Nurse, ER, REGISTERED NURSE
"
Nurse Educator,B.Sc.  ( Science )  ,"
Registered Nurse, Operation Theater
"
"STAFF NURSE , STAFF NURSE","B.Sc.  ( Science )  , PG Diploma
                  	
	                  	
	                       		2009
	                    
                    	","Interpersonal Abilities, Planning/Organizing, Teamwork,
critical care nurse, Nursing Supervisor, Staff Nurse, Acls Provider
"
STAFF NURSE,Diploma-Other Diploma ,"
Icu Nurse, OT NURSE
"
"STAFF NURSE , staff nurse","Other School /  Graduation , Other Post Graduation
                  	
	                  	
	                       		2014
	                    
                    	","
Critical Care, Cardiac, Staff Nurse, Icu Nurse, cardiac nurse
"
Staff Nurse,B.Sc.  ( Science )  ,"
Communication Skills, Collaborative, Critical Thinking, Team Management, Nursing, Icu Nurse
"
staff nurse,"Other Doctorate
                  	
	                  	
                    	","
Registered Nurse
"
"Staff Nurse, Staff Nurse",B.Sc.  ( Science )  ,"Interpersonal Abilities, Management Proficiency, Planning/Organizing,
Dedicated, skilled registered nurse, have effective communication skill.
"
"Male Nurse, Paramedics",B.Sc.  ( Science )  ,"Planning/Organizing, Interpersonal Abilities, Teamwork,
male nurse
"
Staff nurse ward,Diploma-Other Diploma ,"Planning/Organizing, Communication Proficiency,
staff nurse
"
Sr.cathlab Nurse,Diploma-Other Diploma ,"Teamwork, Creative Proficiency, Planning/Organizing,
Cathlab Nurse
"
"Senior staff nurse, Jr. supervisor","B.Sc.  ( Science )  , Other Post Graduation
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Interpersonal Abilities, Teamwork,
ACLS, phtls
"
"Staff nurse, staff nurse","B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2016
	                    
                    	","Interpersonal Abilities, Teamwork, Research Proficiency,
scrub nurse cardiothoracic operation theatre, Staff Nurse, ot nurse, ctot nurse, ctvs ot nurse, cardiac ot nurse
"
Staff nurse,Diploma-Other Diploma ,"
Staff Nurse
"
"Staff nurse, Staff nurse",B.Sc.  ( Science )  ,"Management Proficiency, Leadership Proficiency, Research Proficiency,
, Staff Nurse
"
"Staff nurse , Staff nurse",Diploma-Other Diploma ,"
, Nursing, Stoma nurse, Industrial Nurse, Occupational Health Nurse, IVF nurse
"
"Senior staff nurse, Occupational health nurse",Diploma-Other Diploma ,"Interpersonal Abilities, Management Proficiency, Teamwork,
, Emergency Care, Pre-employment health check up, Treating injuries and illness for employees, Documenting all employees injuries and sickness with in the work place, employee assistance programs, Icu Care, Icu Nurse, Medical Icu, Icu Management, Manage occupational health centre, BLS
"
