experience,education,skills
"Currently Unemployed, SENIOR SOFTWARE ENGINEER","B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2013
	                    
                    	","Management Proficiency, Communication Proficiency, Creative Proficiency,
c++, JIRA, Git, MySQL, Amazon Aws, Python, Scrum Master, development and support, Process Enhancement
"
"sql dba, database administrator",BE /  B.Tech  ( Engineering )  ,"Creative Proficiency, Planning/Organizing, Management Proficiency,
MS SQL Server, c#, asp.mvc
"
"PostgreSQL DBA, DBA Associate",BE /  B.Tech  ( Engineering )  ,"
Backup & Recovery, Restore, Replication, Mirroring, Migration, PostgreSQL, psql, pgadmin, Postgres, Database Administrator, MS SQL Server
"
Sql devloper and etl developer,"B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2014
	                    
                    	","Interpersonal Abilities, Communication Proficiency, Analytical Proficiency,
Ms Access, MS Excel, SSIS, Microsoft SQL, Etl Developer, Oracle and Developer, Pentaho, power bi reporting
"
"SQL Database Administrator , Senior Implementation and Support Engineer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Creative Proficiency, Technical Proficiency,
sql, Crystal Report, Sql Server Dba
"
SQL DEVELOPER,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Communication Proficiency, Research Proficiency,
Microsoft SQL, PHP, MySQL, SQL, MS SQL Server, Advanced SQL
"
"Software engineer SQL DBA, Sql Admin",BE /  B.Tech  ( Engineering )  ,"
Sql Server Dba, Replication, Clustering, Database Migration, Database Mirroring
"
"SQL , PLSQl Developer",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Interpersonal Abilities,
PL / SQL and Oracle
"
SQL DBA,BE /  B.Tech  ( Engineering )  ,"
Microsoft SQL, Data Administration, Backup Administrator, Log Shipping, Database Mirroring, Performance Tuning, Database
"
"Senior SQL Database Administrator, Associate Process Manager","BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
Sql Dba, , MS SQL, Microsoft SQL, MS SQL Server
"
"SQL DBA, SQL DBA",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
MS SQL Server, 2012, 2008 R2, 2014, 2016, 2019, Sql Azure
"
Consultant sql,BE /  B.Tech  ( Engineering )  ,"
MS SQL Server, tsql, oracle, sql, plsql, basic postgresql
"
"SQL Lead, senior Database Administrator","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","Planning/Organizing, Technical Proficiency, Management Proficiency,
database administrator, failover cluster, MS SQL Server, ms sql server database adminisrator, Performance Tuning, Power Bi, senior database administrator, Sql Azure, Sql Server, SSIS, SSRS, Quest spotlight, Service Now, JIRA
"
Oracle SQL and PL SQL Developer and Support Engineer,B.Sc.  ( Science )  ,"
oracle, sql, Java, Python, plsql
"
sql developer,BE /  B.Tech  ( Engineering )  ,"
PL / SQL and Oracle, Data Analysis
"
SQL developer,BE /  B.Tech  ( Engineering )  ,"Research Proficiency, Training/Mentoring, Technical Proficiency,
MySQL, Power B, Dax
"
"SQL support L1, Desktop support",B.com.  ( Commerce )  ,"Technical Proficiency, Planning/Organizing, Teamwork,
Ip Subnetting, Lan-wan, Nat, Network admin, Network Administrator, Routing & Switching, Vlan, Sql, Microsoft SQL, Advanced Excel, Powerbi, Microsoft Azure, Azure
"
Senior PHP / MySQL developer & Business Analyst,BE /  B.Tech  ( Engineering )  ,"Creative Proficiency, Planning/Organizing, Technical Proficiency,
PHP and Developer, PHP, MySQL, HTML, Css, Jquery, Ajax, angular
"
"SQL DBA L4, Sr System Specialist ( SQL DBA )","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		1999
	                    
                    	","Planning/Organizing, Management Proficiency, Technical Proficiency,
sql server 2000 / 2005, sql server 2014 / 2016, log shipping, replication, alwayson, performance tuning, database mirroring, sql server installation, database migration, aws certified, recovery, backup
"
SQL DBA ( Immediately joinee ),"MBA /  PGDM
                  	
	                  	
	                       		2006
	                    
                    	","
Sql Dba
"
Sql developer,BCA  ( Computer Application )  ,"
pl sql, MS SQL, MS Excel, SSRS, .net
"
"PL / SQL developer, oracle developer","MCA /  PGDCA
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Creative Proficiency, Technical Proficiency,
ERP, 10g, ORACLE D2K ( FORM, 10G ), Language-Sql / Plsql, Otrer Tools-Sql*Loder, Toad, windows, linux, unix
"
Ms sql dba,BCA  ( Computer Application )  ,"
MS SQL Server, , Installation, log shipping, Always on, Backup recovery
"
sql dba,B.Sc.  ( Science )  ,"
sql data base administrator
"
"SQL DBA, L2 Support Engineer as MS-SQL DBA",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Analytical Proficiency,
ms sql server, sql azure, paas, cloud computing
"
SQL developer,"MCA /  PGDCA
                  	
	                  	
                    	","
MS SQL Server, Microsoft SQL, T-SQL, Sql Database, Sql Programming, , Ms sql, Ms sql, sql, Ms sql, sql, trigger
"
SQL Serevr DBA,BA  ( Arts )  ,"Planning/Organizing, Creative Proficiency, Technical Proficiency,
sql server dba, production dba, datawarehouse support
"
"Software developer pl sql, Senior engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Teamwork,
CODING, DATABASE, ENGINEER, GIS, MS SQL SERVER, Oracle plsql developer, Oracle Sql Developer, Teradata, Application support
"
"Oracle SQL , PLSQL DEVELOPER",Diploma-Engineering ,"
Oracle PL SQL Developer
"
"Ms Sql developer, Software engineer",BE /  B.Tech  ( Engineering )  ,"
Senior Software Developer, MS SQL Server, DBA, Ssms, Ssrs
"
Windows Server And SQl DBa Administrator,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Technical Proficiency,
Network administration and management, windows desktop, windows server, sql server, server administrator, montoring of servers hardware and software events, Service Desk, Incident Management
"
SQL Developer,"B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2021
	                    
                    	","Planning/Organizing, Communication Proficiency, Technical Proficiency,
sql server, SSRS, Ssrs Reports, Msbi Ssrs
"
"Sr. PL SQL Developer, Consultant","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		1997
	                    
                    	","Management Proficiency, Planning/Organizing, Technical Proficiency,
Oracle PL SQL Developer, MS SQL Server
"
"MS SQL DBA, MS SQL DBA",B.com.  ( Commerce )  ,"
MS SQL DBA, Database Administrator, MS Office
"
"Sr senior SQL developer , Sql programmer","MCA /  PGDCA
                  	
	                  	
                    	","
MS SQL Server, tableau desktop, tableau server
"
